CO2
{
	100	0.062	0.28373
	200	0.055015	0.16988
	300	0.043665	0.127
	500	0.032417	0.127
	1000	0.021	0.127
	1500	0.015074	0.127
	2000	0.011571	0.127
	2500	0.0094234	0.127
	3000	0.0079682	0.127
	3500	0.0069146	0.127
	4000	0.0061153	0.127
}
H2O
{
	100	0.00091343	0.799
	200	0.0011744	0.799
	300	0.00099331	0.799
	500	0.00076942	0.799
	1000	0.00054406	0.799
	1500	0.00044422	0.799
	2000	0.00038471	0.799
	2500	0.00034409	0.799
	3000	0.00031411	0.799
	3500	0.00029081	0.799
	4000	0.00027203	0.799
}
